课程名称,课程类别,课程形式,课程编号,课程时长,URL,事故类型
意外伤害之触电现场急救,应急明白类课程,,GFE.B.16,15:05,https://www.bilibili.com/video/BV1xa411C73X?spm_id_from=333.788.recommend_more_video.0&trackid=web_related_0.router-related-2589621-btjjl.1779878270468.895&vd_source=8042ec89c63c1e56847a32ea9b47b7a8,触电事故
放炮事故“教学式”应急救援演练,应急明白类课程,,GFE.B.17,05:30,https://www.bilibili.com/video/BV1894y1j7ZH?spm_id_from=333.788.videopod.sections&vd_source=8042ec89c63c1e56847a32ea9b47b7a8,放炮事故
车辆伤害应急处置,应急明白类课程,,GFE.D.1,00:46,https://v.douyin.com/v5SOdJE4IAg/,车辆伤害事故
矿井发生透水事故的自救与互救,应急明白类课程,,GFE.D.2,01:10,https://v.douyin.com/XMtZ8aQ93d4/,透水事故
隧道坍塌应急救援技术系列视频：隧道“关门”坍塌事故介绍,应急明白类课程,,GFE.D.3,04:37,https://v.douyin.com/Ru2SW08tV6E/ 复制此链接，打开Dou音搜索，直接观看视频！,隧道坍塌事故
采掘工作面冒顶事故应急处置,应急明白类课程,,GFE.D.4,01:59,https://v.douyin.com/Yiz4ubNFrcc/,冒顶片帮事故
安全生产事故警示教育片之：高处坠落,应急明白类课程,,GFE.D.5,05:42,https://v.douyin.com/nrvbGq7MrT0/,高处坠落事故
物体打击事故应急处置方法,应急明白类课程,,GFE.D.6,01:01,https://v.douyin.com/nbmT2pe2CRU/,物体打击事故
机械伤害应急处置流程,应急明白类课程,,GFE.D.7,02:59,https://v.douyin.com/Oe9J1KxUD60/,机械伤害事故
中毒与窒息安全教育警示片事故紧急处理方法,应急明白类课程,,GFE.D.8,01:55,https://v.douyin.com/cq2dCZOyEpI/,中毒窒息事故
烫伤与烧伤急救处理应急知识,应急明白类课程,,GFE.D.9,05:16,https://v.douyin.com/VIvyCSP0P_U/,灼烫事故
安全学习之【建设项目溺水应急救援演练】,应急明白类课程,,GFE.D.10,04:16,https://v.douyin.com/X-WnIzoFV7Y/,淹溺事故
触电事故应急处置办法,应急明白类课程,,GFE.D.11,01:22,https://v.douyin.com/L4dxPsYZSMo/,触电事故
建筑工地基坑事故应急演练,应急明白类课程,,GFE.D.12,04:10,https://v.douyin.com/IhGEA_OWHOQ/,基坑坍塌事故
安全生产月模板坍塌应急演练,应急明白类课程,,GFE.D.13,14:13,https://v.douyin.com/0HWDWU5_ixQ/,模板倾覆事故
安全生产事故应急演练视频（架体坍塌）,应急明白类课程,,GFE.D.14,03:58,https://v.douyin.com/3KJvBwyQpdI/,支架坍塌事故
安全施工动画-人工挖孔桩作业孔壁坍塌,应急明白类课程,,GFE.D.15,01:23,https://v.douyin.com/-HQucdemovQ/,孔壁坍塌事故
吊车倾覆事故”应急演练,应急明白类课程,,GFE.D.16,11:44,https://v.douyin.com/pOSk8HMfFUE/,设备倾覆事故
安全无小事！边坡坍塌事故应急演练,应急明白类课程,,GFE.D.17,01:33,https://v.douyin.com/mx3GBLjAbzk/,边坡坍塌事故
工地中暑？10秒救急！,应急明白类课程,,GFE.D.18,00:57,https://v.douyin.com/CFf9DHVlQ1g/,中暑急救
心肺复苏，完整演示全过程,应急明白类课程,,GFE.D.19,03:14,https://v.douyin.com/znhERTLzhlo/,心肺复苏
工伤出血救命指南,应急明白类课程,,GFE.D.20,01:14,https://v.douyin.com/A5br3isq-Ds/,止血包扎
交通事故逃生小知识,应急明白类课程,,GFE.D.21,01:25,https://v.douyin.com/8uoSmnxKwRk,车辆伤害事故
叉车伤害应急演练,应急明白类课程,,GFE.D.22,01:32,https://v.douyin.com/UFQKk_6D-fE/,车辆伤害事故
公司组织开展水害事故综合应急救援演练,应急明白类课程,,GFE.D.23,02:13,https://v.douyin.com/rKT7VWvLG4s/,透水事故
逃生演练科普视频——突泥涌水逃生科普,,,GFE.D.24,03:01,https://v.douyin.com/sdZKGY1Xu3M/,透水事故
隧道坍塌逃生科普视频,应急明白类课程,,GFE.D.25,03:54,https://v.douyin.com/3vJ5EMSx-B8/,隧道坍塌事故
安全事故应急处理安全注意事项！,应急明白类课程,,GFE.D.26,01:08,https://v.douyin.com/eguO27iUi6c/,高处坠落事故
人人讲安全，个个会应急,应急明白类课程,,GFE.D.27,02:09,https://v.douyin.com/zMgpn3P-VxY/,物体打击事故
生产事故应急演练,应急明白类课程,,GFE.D.28,02:28,https://v.douyin.com/LKC00B6oLNg/,机械伤害事故
CO中毒事故现场处置方案,应急明白类课程,,GFE.D.29,05:30,https://v.douyin.com/bb8OwdSwcpA/,中毒窒息事故
真人演绎，高温物料烫伤事故现场处置方案！,应急明白类课程,,GFE.D.30,05:20,https://v.douyin.com/y18bXD6HqJs/,灼烫事故
打通水上交通水上作业安全生产“最后一公里”,应急明白类课程,,GFE.D.31,00:44,https://v.douyin.com/Tm3SmNKn94s/,淹溺事故
触电急救模拟操作,应急明白类课程,,GFE.D.32,05:32,https://v.douyin.com/H4cAXgaOBHI/,触电事故
坍塌伤害安全事故救援应急预案,应急明白类课程,,GFE.D.33,05:06,https://v.douyin.com/leLzpwpezjM/,基坑坍塌事故
预防盲目施救——坍塌篇,应急明白类课程,,GFE.D.34,03:10,https://v.douyin.com/yRV7A0jBA84/,模板倾覆事故
脚手架坍塌应急救援现场演练,应急明白类课程,,GFE.D.35,08:48,https://v.douyin.com/VZ-UQqeFT8M/,支架坍塌事故
火灾事故应急处置程序示范片,应急明白类课程,,GFE.D.36,05:04,https://v.douyin.com/ytGvyVmcDZo/,火灾事故
疏密之间-塔吊安装倾覆事件安全警示视频,应急明白类课程,,GFE.D.37,11:44,https://v.douyin.com/Nb_VCGUue7s/,设备倾覆事故
深基坑边坡坍塌救援演练！,应急明白类课程,,GFE.D.38,00:47,https://v.douyin.com/N07zMC2SB7g/,边坡坍塌事故
“救”在你身边——炎炎夏日，发现有人中暑应该怎么办？,应急明白类课程,,GFE.D.39,03:26,https://v.douyin.com/OKkD6N_3j88/,中暑急救
安全与应急科普知识：绷带包扎法,应急明白类课程,,GFE.D.40,02:57,https://v.douyin.com/k6VceJrnHq8/,止血包扎
安全施救——救援实施,应急明白类课程,,GFE.D.41,04:15,https://v.douyin.com/9-8t5z3ANus/,中毒窒息事故
公路工程安全生产事故应急救援演练,应急明白类课程,,GFE.D.42,13:47,https://v.douyin.com/oXHXGp2mvyY/,支架坍塌事故
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
