课程名称,课程类别,课程形式,课程编号,课程时长,URL,危险源,,
洞身开挖风险提示卡,风险提示类课程,3D动画,GFC.5.4,05:17,https://www.zhkjdream.com/app/course/detail/157868304_157823975,洞身开挖作业,,
隧道爆破风险提示卡,风险提示类课程,3D动画,GFC.5.5,04:37,https://www.zhkjdream.com/app/course/detail/157868346_157823933,隧道爆破作业,,
锚杆施工风险提示卡,风险提示类课程,3D动画,GFC.5.6,01:41,https://www.zhkjdream.com/app/course/detail/157873822_157818457,锚杆支护作业,,
钢筋网施工风险提示卡,风险提示类课程,3D动画,GFC.5.7,01:02,https://www.zhkjdream.com/app/course/detail/157868181_157824098,钢筋网作业,,
钢拱架施工风险提示卡,风险提示类课程,3D动画,GFC.5.8,02:23,https://www.zhkjdream.com/app/course/detail/157879542_157812737,拱架作业,,
喷射混凝土施工风险提示卡,风险提示类课程,3D动画,GFC.5.9,03:18,https://www.zhkjdream.com/app/course/detail/157869273_157823006,喷射混凝土作业,,
防排水施工风险提示卡,风险提示类课程,3D动画,GFC.5.10,04:13,https://www.zhkjdream.com/app/course/detail/157868309_157823970,防水层铺设作业,,
衬砌钢筋施工风险提示卡,风险提示类课程,3D动画,GFC.5.11,03:08,https://www.zhkjdream.com/app/course/detail/157868180_157824099,衬砌钢筋作业,,
衬砌混凝土施工风险提示卡,风险提示类课程,3D动画,GFC.5.12,02:01,https://www.zhkjdream.com/app/course/detail/157874605_157817674,衬砌混凝土作业,,
装渣运输风险提示卡,风险提示类课程,3D动画,GFC.5.14,04:04,https://www.zhkjdream.com/app/course/detail/157868102_157824177,装渣运输作业,,
施工通风风险提示卡,风险提示类课程,3D动画,GFC.5.15,01:18,https://www.zhkjdream.com/app/course/detail/157868652_157823627,施工通风作业,,
仰拱、铺底施工风险提示卡,风险提示类课程,3D动画,GFC.5.16,02:19,https://www.zhkjdream.com/app/course/detail/157868108_157824171,仰供、铺底作业,,
交安工程施工风险提示卡,风险提示类课程,3D动画,GFC.6.1,02:00,https://www.zhkjdream.com/app/course/detail/157875946_157816333,交安工程作业,,
护栏施工风险提示卡,风险提示类课程,3D动画,GFC.6.2,01:53,https://www.zhkjdream.com/app/course/detail/157869108_157823171,护栏作业,,
交通标线施工风险提示卡,风险提示类课程,3D动画,GFC.6.3,01:06,https://www.zhkjdream.com/app/course/detail/157869156_157823123,交通标线作业,,
交通标志施工风险提示卡,风险提示类课程,3D动画,GFC.6.4,02:11,https://www.zhkjdream.com/app/course/detail/157869156_157823123,交通标志作业,,
隔离栅、防落网施工风险提示卡,风险提示类课程,3D动画,GFC.6.5,01:52,,隔离栅、防落网作业,,
防眩设施施工风险提示卡,风险提示类课程,3D动画,GFC.6.6,00:49,,防眩设施作业,,
地基与基础工程风险提示卡,风险提示类课程,3D动画,GFC.7.1,01:26,https://www.zhkjdream.com/app/course/detail/157873692_157818587,地基与基础工程作业,,
主体结构工程风险提示卡,风险提示类课程,3D动画,GFC.7.2,03:39,,主体结构作业,,
安全生产事故警示及预防-挖掘机事故,风险提示类课程,,GFC.B.1,02:21,https://www.bilibili.com/video/BV1dj1dYBE8z?spm_id_from=333.788.recommend_more_video.4&trackid=web_related_0.router-related-2589621-4d422.1779436491973.808&vd_source=8042ec89c63c1e56847a32ea9b47b7a8,机械伤害作业,,
安全生产事故警示及预防-建筑工地中暑,风险提示类课程,,GFC.B.2,02:10,https://www.bilibili.com/video/BV1dj1dYBEFP?spm_id_from=333.788.videopod.sections&vd_source=8042ec89c63c1e56847a32ea9b47b7a8,特殊天气作业,,
安全生产事故警示及预防-物体打击事故,风险提示类课程,,GFC.B.3,02:41,https://www.bilibili.com/video/BV1Gy1RYhEFj?spm_id_from=333.788.videopod.sections&vd_source=8042ec89c63c1e56847a32ea9b47b7a8,物体打击作业,,
高处作业安全培训和应急演练,风险提示类课程,,GFC.B.4,08:31,https://www.bilibili.com/video/BV1cA411m7Rf?spm_id_from=333.788.videopod.sections&vd_source=8042ec89c63c1e56847a32ea9b47b7a8,高处坠落作业,,
吊装作业安全培训（高清）,风险提示类课程,,GFC.B.5,13:29,https://www.bilibili.com/video/BV1mv411e7iL?spm_id_from=333.788.videopod.sections&vd_source=8042ec89c63c1e56847a32ea9b47b7a8,起重作业,,
高处作业安全培训（高清）,风险提示类课程,,GFC.B.6,13:16,https://www.bilibili.com/video/BV16N411R7KJ?spm_id_from=333.788.videopod.sections&vd_source=8042ec89c63c1e56847a32ea9b47b7a8,高处坠落作业,,
施工临时用电培训（超清）,风险提示类课程,,GFC.B.7,20:50,https://www.bilibili.com/video/BV17o4y1d7TD?spm_id_from=333.788.videopod.sections&vd_source=8042ec89c63c1e56847a32ea9b47b7a8,临时用电作业,,
物体打击安全警示教育片,风险提示类课程,,GFC.B.8,08:45,https://www.bilibili.com/video/BV1RU4y1N7h3?spm_id_from=333.788.videopod.sections&vd_source=8042ec89c63c1e56847a32ea9b47b7a8,物体打击作业,,
重大件吊装安全教育警示片,风险提示类课程,,GFC.B.9,09:09,https://www.bilibili.com/video/BV1Z44y1h776?spm_id_from=333.788.videopod.sections&vd_source=8042ec89c63c1e56847a32ea9b47b7a8,起重作业,,
安全警示教育片《机械伤害》,风险提示类课程,,GFC.B.10,08:34,https://tv.aqrzj.com/shigu/278.html,机械伤害作业,,
有限空间作业事故警示教育片,风险提示类课程,,GFC.B.11,13:36,https://tv.aqrzj.com/shigu/33.html,有限空间作业,,
雨季施工要注意哪五方面要点？,风险提示类课程,,GFC.B.12,02:14,https://www.bilibili.com/video/BV18pMSzFEmA/?spm_id_from=333.337.search-card.all.click&vd_source=8042ec89c63c1e56847a32ea9b47b7a8,特殊天气作业,,
铁路营业线施工违规作业行为警示,风险提示类课程,,GFC.B.13,03:21,https://www.bilibili.com/video/BV12uoyB5Eht/?spm_id_from=333.337.search-card.all.click&vd_source=8042ec89c63c1e56847a32ea9b47b7a8,涉铁作业,,
软土地基处理塑料排水板工艺,风险提示类课程,,GFC.B.14,02:35,https://www.bilibili.com/video/BV1UE411i7xw/?spm_id_from=333.337.search-card.all.click&vd_source=8042ec89c63c1e56847a32ea9b47b7a8,塑料排水板作业,,
滑坡的预防与应对,风险提示类课程,,GFC.B.15,01:42,https://www.bilibili.com/video/BV1WkmmYiEeE/?spm_id_from=333.337.search-card.all.click&vd_source=8042ec89c63c1e56847a32ea9b47b7a8,滑坡治理作业,,
涵洞施工全过程动画,风险提示类课程,,GFC.B.16,03:58,https://www.bilibili.com/video/BV12v4y197UU/?spm_id_from=333.337.search-card.all.click&vd_source=8042ec89c63c1e56847a32ea9b47b7a8,涵洞作业,,
路基施工全过程,风险提示类课程,,GFC.B.17,28:45,https://www.bilibili.com/video/BV19b4y1P7Dp/?spm_id_from=333.337.search-card.all.click&vd_source=8042ec89c63c1e56847a32ea9b47b7a8,路基作业,,
水下围堰施工原理与过程,风险提示类课程,,GFC.B.18,09:07,https://www.bilibili.com/video/BV1ixLxzxEBu/?spm_id_from=333.337.search-card.all.click&vd_source=8042ec89c63c1e56847a32ea9b47b7a8,筑岛围堰作业,,
高空作业注意事项,风险提示类课程,,GFC.D.1,00:54,https://v.douyin.com/BKzKWo_5f0E/,高处坠落作业,,
基坑作业警示教育,风险提示类课程,,GFC.D.2,00:45,https://v.douyin.com/AOPRqZNgPXU/,基坑开挖作业,,
安全生产事故警示及预防-钢筋工事故,风险提示类课程,,GFC.D.3,02:35,https://v.douyin.com/PmMCcljuISM/,钢筋制安作业,,
振捣器安全使用规范安全技术交底,风险提示类课程,,GFC.D.4,00:56,https://v.douyin.com/uDOsjdLt6hI/,混凝土浇捣作业,,
浅析砌筑工程作业安全要求,风险提示类课程,,GFC.D.5,02:39,https://v.douyin.com/c8mCjSiUUWM/,砌体作业,,
临时用电作业安全培训,风险提示类课程,,GFC.D.6,11:15,https://v.douyin.com/2s7_AGkRUrQ/,临时用电作业,,
钻孔灌注桩施工安全风险分析,风险提示类课程,,GFC.D.7,01:16,https://v.douyin.com/Sy4VaAwO9Sw/,钻孔灌注桩作业,,
沉入桩施工安全控制要点,风险提示类课程,,GFC.D.8,01:24,https://v.douyin.com/AxqZk8TRMRw/,沉入桩作业,,
电气焊安全作业知识,风险提示类课程,,GFC.D.9,04:43,https://v.douyin.com/prty-vJ-EbQ/,电焊作业,,
切割作业安全施工规范技术交底,风险提示类课程,,GFC.D.10,00:49,https://v.douyin.com/QgIeWaHz3MQ/,气割作业,,
水下作业安全规定,风险提示类课程,,GFC.D.11,01:17,https://v.douyin.com/gYS_qXrdvBA/,潜水作业,,
水上施工安全控制要点,风险提示类课程,,GFC.D.12,00:57,https://v.douyin.com/OoI5lHGxDvs/,水上作业,,
夜间施工注意事项,风险提示类课程,,GFC.D.13,02:33,https://v.douyin.com/VuUighBs52I/,夜间作业,,
危险化学品安全警示片,风险提示类课程,,GFC.D.14,09:36,https://v.douyin.com/B0Hxuxvpq5U/,危险品储存运输作业,,
自卸车这些操作你都做对了吗？,风险提示类课程,,GFC.D.15,01:22,https://v.douyin.com/83-yQZ96eWE/,自卸汽车作业,,
挖掘机安全操作警示动画,风险提示类课程,,GFC.D.16,02:09,https://v.douyin.com/ZUPwvGzx_PY/,挖掘机作业,,
装载机安全注意事项指导,风险提示类课程,,GFC.D.17,05:00,https://v.douyin.com/4U5Yb5oGAFY/,装载机作业,,
压路机施工安全指南！安心“小贴士”,风险提示类课程,,GFC.D.18,00:48,https://v.douyin.com/5kss8AH-Drc/,压路机作业,,
混凝土输送泵使用规范,风险提示类课程,,GFC.D.19,04:11,https://v.douyin.com/id7NjVMzJDk/,混凝土输送泵作业,,
汽车吊吊装安全管控要点,风险提示类课程,,GFC.D.20,02:26,https://v.douyin.com/t5dWtwZ7lVc/,汽车起重机作业,,
钢筋弯曲机存在隐患及规范要求,风险提示类课程,,GFC.D.21,00:20,https://v.douyin.com/SoeiU0asLQo/,钢筋弯曲机作业,,
企业安全技术交底之防机械伤害篇—钢筋切断机安全操作交底,风险提示类课程,,GFC.D.22,00:54,https://v.douyin.com/NXGiLHOzEGE/,钢筋切断机作业,,
振捣器安全操作要点,风险提示类课程,,GFC.D.23,01:33,https://v.douyin.com/PIBDssIJZOI/,插入式振捣器作业,,
塔吊施工安全检查,风险提示类课程,,GFC.D.24,08:11,https://v.douyin.com/a6wNqswAc_U/,塔吊作业,,
安全隐患排查施工升降机,风险提示类课程,,GFC.D.25,06:11,https://v.douyin.com/ozF1315MZp8/,施工升降机作业,,
土方开挖作业安全注意事项,风险提示类课程,,GFC.D.26,02:07,https://v.douyin.com/wQyht2NUWkw/,土方开挖作业,,
石方爆破中爆破有害效应的控制,风险提示类课程,,GFC.D.27,01:52,https://v.douyin.com/46Fy-6C09Bc/,石方爆破作业,,
各种路基土石方施工安全培训,风险提示类课程,,GFC.D.28,19:52,https://v.douyin.com/u9hJkrwuq0s/,土石方填筑作业,,
建筑施工抹灰作业危害防控,风险提示类课程,,GFC.D.29,06:34,https://v.douyin.com/VY-2rAXBlzo/,墙体作业,,
强夯施工的安全注意事项有哪些,风险提示类课程,,GFC.D.30,00:46,https://v.douyin.com/H_iZYz90YdM/,强夯作业,,
